Step,FlowLoss,Accepted,AvgEnergy,AvgShift,AvgAcc,AvgMSD,T_Phys,T_Train,T_Jump,T_Total
0,7258.607421875,1,-241.39483642578125,2.1824839115142822,1.1284717321395874,0.0,8.38100528717041,1.286128282546997,1.182192087173462,10.849409818649292
100,4883.8466796875,1,-321.5390319824219,3.3748998641967773,2.1041665077209473,5575.60009765625,7.505524635314941,0.5564134120941162,1.1458041667938232,9.207775831222534
200,4541.17138671875,1,-349.53192138671875,3.28916072845459,1.8159724473953247,13368.0078125,7.721746444702148,0.4979562759399414,1.1846199035644531,9.404356002807617
300,4360.341796875,1,-369.0882873535156,2.826613426208496,1.3090271949768066,19215.986328125,7.8696229457855225,0.5821590423583984,1.2904410362243652,9.742257833480835
400,2550.700927734375,0,-370.80206298828125,2.587412118911743,1.0520827770233154,25449.66015625,8.134922742843628,0.5288629531860352,1.7087459564208984,10.372550249099731
500,2723.39599609375,0,-367.2939147949219,2.3717539310455322,0.8784716725349426,29916.9609375,8.084822654724121,0.40123701095581055,1.9972288608551025,10.48330807685852
600,1748.0018310546875,0,-365.8319396972656,2.3370723724365234,0.8437494039535522,31999.94921875,8.178858757019043,0.4870758056640625,2.047846794128418,10.713797330856323
700,1414.203857421875,0,-357.0284729003906,2.304426431655884,1.0868051052093506,36372.25390625,7.895488977432251,0.4516310691833496,1.7194223403930664,10.066558361053467
800,1345.85986328125,1,-363.50836181640625,2.214143753051758,0.923610508441925,39305.37109375,8.01678991317749,0.444594144821167,1.6093401908874512,10.070755958557129
900,665.902587890625,0,-359.0873718261719,2.4157555103302,1.0243046283721924,42367.6796875,8.336800336837769,0.41369009017944336,2.1283161640167236,10.878823280334473
1000,604.698974609375,0,-368.1597900390625,2.3800394535064697,0.8819438219070435,46928.40625,8.208458185195923,1.010554552078247,2.7111165523529053,11.93014907836914
1100,918.0267333984375,0,-366.2071838378906,2.2393157482147217,0.6979163289070129,50947.828125,8.174911499023438,0.5904910564422607,2.2208003997802734,10.986220836639404
1200,319.25238037109375,0,-375.4512023925781,2.0613579750061035,0.6805551648139954,54546.63671875,8.233772039413452,0.5820956230163574,3.1814589500427246,11.997346878051758
1300,351.56829833984375,0,-382.4723815917969,1.9961116313934326,0.6562497615814209,57905.28515625,8.873730421066284,0.2392287254333496,3.280830144882202,12.393805980682373
1400,658.5213623046875,0,-381.79449462890625,2.0061891078948975,0.6666662693023682,61312.05859375,8.254615545272827,0.5341782569885254,3.658127784729004,12.446940660476685
1500,637.3719482421875,0,-380.68316650390625,1.9979864358901978,0.7361106872558594,64239.81640625,8.158008575439453,0.5638444423675537,2.5535664558410645,11.275436401367188
1600,384.8088684082031,1,-375.9598388671875,1.9712111949920654,0.659721851348877,65963.84375,8.327751159667969,0.4832737445831299,2.548600435256958,11.359675168991089
1700,671.25048828125,0,-342.9096374511719,2.2551393508911133,0.7604162096977234,69901.796875,9.060815572738647,0.42815208435058594,2.0789735317230225,11.567957878112793
1800,-41.54222106933594,0,-338.32501220703125,2.4754068851470947,0.725693941116333,72263.578125,9.076869010925293,0.42165565490722656,2.0203492641448975,11.518890857696533
1900,-34.106048583984375,0,-350.2472229003906,2.479642391204834,0.7048606872558594,75809.6484375,8.881699800491333,0.4705691337585449,3.1834774017333984,12.535763263702393
2000,26.375411987304688,0,-362.696044921875,2.376776695251465,0.7743051648139954,79297.1171875,8.556743621826172,0.9821343421936035,3.3684206008911133,12.907327651977539
2100,647.4869995117188,0,-370.0489807128906,2.3208281993865967,0.5972217917442322,82174.2734375,8.740832090377808,0.42074084281921387,2.6380436420440674,11.799634218215942
2200,293.13885498046875,0,-369.9135437011719,2.1549174785614014,0.5729165077209473,84644.4375,8.457199335098267,0.45266246795654297,3.5682485103607178,12.478130578994751
2300,-196.47528076171875,0,-370.9604797363281,2.0980935096740723,0.5833331942558289,87382.1171875,8.505371809005737,0.5366020202636719,4.32340669631958,13.365397930145264
2400,302.00030517578125,0,-374.9234619140625,2.097219467163086,0.6979162693023682,88810.0078125,8.341110706329346,0.5186874866485596,3.1616368293762207,12.021453380584717
2500,9.42852783203125,1,-375.93402099609375,1.9989944696426392,0.6944441199302673,91065.7109375,8.301915407180786,0.5516157150268555,2.0869646072387695,10.94052767753601
2600,-1003.1258544921875,0,-348.22735595703125,2.1940948963165283,0.666666567325592,93922.09375,8.628294706344604,0.46492457389831543,2.185084104537964,11.278320550918579
2700,68.94027709960938,0,-346.5911865234375,2.4693009853363037,0.6527774930000305,96299.2265625,8.536679983139038,0.464169979095459,3.7751762866973877,12.776044130325317
2800,323.4329833984375,0,-349.6080322265625,2.4805104732513428,0.6874997019767761,101227.7734375,8.358708620071411,0.45894670486450195,4.193589448928833,13.011261224746704
2900,-960.9813842773438,0,-356.0074462890625,2.491319179534912,0.7256940603256226,105856.1796875,8.27851414680481,0.5531661510467529,4.316636800765991,13.148341655731201
